"시점","투자현황별(1)","현황별(1)",현황별(2),데이터
"2017","기업 연구개발비 (백만원)","지역별",충남,98862
"2017","기업 연구개발비 (백만원)","지역별",전북,34887
"2017","기업 연구개발비 (백만원)","지역별",전남,5442
"2017","기업 연구개발비 (백만원)","지역별",경북,57292
"2017","기업 연구개발비 (백만원)","지역별",경남,16789
"2017","기업 연구개발비 (백만원)","지역별",제주,4442
"2017","바이오 연구개발비 (백만원)","주력업종별",바이오 의약,1110864
"2017","바이오 연구개발비 (백만원)","주력업종별",바이오 화학·에너지,116610
"2017","바이오 연구개발비 (백만원)","주력업종별",바이오 식품,111837
"2017","바이오 연구개발비 (백만원)","주력업종별",바이오 환경,9716
"2017","바이오 연구개발비 (백만원)","주력업종별",바이오 의료기기,61869
"2017","바이오 연구개발비 (백만원)","주력업종별",바이오 장비 및 기기,12909
"2017","바이오 연구개발비 (백만원)","주력업종별",바이오 자원,22626
"2017","바이오 연구개발비 (백만원)","주력업종별",바이오 서비스,50843
"2017","바이오 연구개발비 (백만원)","총 종사자규모별",1~49명,149436
"2017","바이오 연구개발비 (백만원)","총 종사자규모별",50~299명,376715
"2017","바이오 연구개발비 (백만원)","총 종사자규모별",300~999명,349116
"2017","바이오 연구개발비 (백만원)","총 종사자규모별",1000명 이상,622007
"2017","바이오 연구개발비 (백만원)","총 종사자규모별",미상,0
"2017","바이오 연구개발비 (백만원)","지역별",서울,139333
"2017","바이오 연구개발비 (백만원)","지역별",부산,38240
"2017","바이오 연구개발비 (백만원)","지역별",인천,389778
"2017","바이오 연구개발비 (백만원)","지역별",대구,2788
"2017","바이오 연구개발비 (백만원)","지역별",광주,663
"2017","바이오 연구개발비 (백만원)","지역별",대전,46365
"2017","바이오 연구개발비 (백만원)","지역별",울산,1418
"2017","바이오 연구개발비 (백만원)","지역별",세종,28057
"2017","바이오 연구개발비 (백만원)","지역별",경기,487778
"2017","바이오 연구개발비 (백만원)","지역별",강원,47944
"2017","바이오 연구개발비 (백만원)","지역별",충북,214652
"2017","바이오 연구개발비 (백만원)","지역별",충남,31579
"2017","바이오 연구개발비 (백만원)","지역별",전북,15524
"2017","바이오 연구개발비 (백만원)","지역별",전남,3944
"2017","바이오 연구개발비 (백만원)","지역별",경북,38037
"2017","바이오 연구개발비 (백만원)","지역별",경남,6993
"2017","바이오 연구개발비 (백만원)","지역별",제주,4181
"2018","기업 연구개발비 (백만원)","주력업종별",바이오 의약,1816192
"2018","기업 연구개발비 (백만원)","주력업종별",바이오 화학·에너지,3279722
"2018","기업 연구개발비 (백만원)","주력업종별",바이오 식품,312683
"2018","기업 연구개발비 (백만원)","주력업종별",바이오 환경,26636
"2018","기업 연구개발비 (백만원)","주력업종별",바이오 의료기기,93435
"2018","기업 연구개발비 (백만원)","주력업종별",바이오 장비 및 기기,13051
"2018","기업 연구개발비 (백만원)","주력업종별",바이오 자원,24864
"2018","기업 연구개발비 (백만원)","주력업종별",바이오 서비스,88804
"2018","기업 연구개발비 (백만원)","총 종사자규모별",1~49명,265477
"2018","기업 연구개발비 (백만원)","총 종사자규모별",50~299명,376775
"2018","기업 연구개발비 (백만원)","총 종사자규모별",300~999명,582653
"2018","기업 연구개발비 (백만원)","총 종사자규모별",1000명 이상,4163641
"2018","기업 연구개발비 (백만원)","총 종사자규모별",미상,266841
"2018","기업 연구개발비 (백만원)","지역별",서울,330090
"2018","기업 연구개발비 (백만원)","지역별",부산,2746
"2018","기업 연구개발비 (백만원)","지역별",인천,301941
"2018","기업 연구개발비 (백만원)","지역별",대구,85012
"2018","기업 연구개발비 (백만원)","지역별",광주,889
"2018","기업 연구개발비 (백만원)","지역별",대전,305893
"2018","기업 연구개발비 (백만원)","지역별",울산,56368
"2018","기업 연구개발비 (백만원)","지역별",세종,33122
"2018","기업 연구개발비 (백만원)","지역별",경기,3941906
"2018","기업 연구개발비 (백만원)","지역별",강원,69599
"2018","기업 연구개발비 (백만원)","지역별",충북,367024
"2018","기업 연구개발비 (백만원)","지역별",충남,87898
"2018","기업 연구개발비 (백만원)","지역별",전북,36075
"2018","기업 연구개발비 (백만원)","지역별",전남,7966
"2018","기업 연구개발비 (백만원)","지역별",경북,18097
"2018","기업 연구개발비 (백만원)","지역별",경남,6651
"2018","기업 연구개발비 (백만원)","지역별",제주,4110
"2018","바이오 연구개발비 (백만원)","주력업종별",바이오 의약,1217383
"2018","바이오 연구개발비 (백만원)","주력업종별",바이오 화학·에너지,149539
"2018","바이오 연구개발비 (백만원)","주력업종별",바이오 식품,126919
"2018","바이오 연구개발비 (백만원)","주력업종별",바이오 환경,11810
"2018","바이오 연구개발비 (백만원)","주력업종별",바이오 의료기기,89130
"2018","바이오 연구개발비 (백만원)","주력업종별",바이오 장비 및 기기,8661
"2018","바이오 연구개발비 (백만원)","주력업종별",바이오 자원,10244
"2018","바이오 연구개발비 (백만원)","주력업종별",바이오 서비스,83733
"2018","바이오 연구개발비 (백만원)","총 종사자규모별",1~49명,238818
"2018","바이오 연구개발비 (백만원)","총 종사자규모별",50~299명,320728
"2018","바이오 연구개발비 (백만원)","총 종사자규모별",300~999명,314454
"2018","바이오 연구개발비 (백만원)","총 종사자규모별",1000명 이상,582450
"2018","바이오 연구개발비 (백만원)","총 종사자규모별",미상,240969
"2018","바이오 연구개발비 (백만원)","지역별",서울,185532
"2018","바이오 연구개발비 (백만원)","지역별",부산,2746
"2018","바이오 연구개발비 (백만원)","지역별",인천,272550
"2018","바이오 연구개발비 (백만원)","지역별",대구,4858
"2018","바이오 연구개발비 (백만원)","지역별",광주,659
"2018","바이오 연구개발비 (백만원)","지역별",대전,68083
