"巢祈狼 楷飞喊","酒郴狼 楷飞喊",2018,2019,2020,2021,2022
"40技","70 - 74技",0,0,0,0,0
"40技","75技捞惑",0,1,0,0,0
"41技","15技",0,0,0,0,0
"41技","16技",0,0,0,0,0
"41技","17技",1,2,1,0,0
"41技","18技",52,66,20,3,10
"41技","19技",54,64,23,4,19
"41技","20技",46,55,24,7,30
"41技","21技",42,39,20,9,26
"41技","22技",33,34,26,8,22
"41技","23技",43,41,26,14,26
"41技","24技",45,47,25,20,49
"41技","25技",46,43,39,18,31
"41技","26技",68,46,35,33,36
"41技","27技",61,61,46,46,61
"41技","28技",61,76,70,55,63
"41技","29技",81,83,77,59,77
"41技","30技",102,100,81,85,99
"41技","31技",107,105,85,91,96
"41技","32技",130,114,111,110,121
"41技","33技",183,171,141,143,156
"41技","34技",187,186,160,177,179
"41技","35技",279,222,204,217,235
"41技","36技",384,325,285,252,285
"41技","37技",409,349,320,328,296
"41技","38技",362,343,342,318,342
"41技","39技",313,341,338,345,364
"41技","40 - 44技",967,970,892,937,1037
"41技","45 - 49技",178,162,150,140,134
"41技","50 - 54技",30,16,25,37,17
"41技","55 - 59技",6,4,5,2,2
"41技","60 - 64技",1,0,0,0,0
"41技","65 - 69技",0,0,0,0,0
"41技","70 - 74技",0,0,0,0,0
"41技","75技捞惑",0,0,0,0,0
"42技","15技",0,0,0,0,0
"42技","16技",0,0,0,0,0
"42技","17技",0,1,0,0,0
"42技","18技",41,73,26,2,18
"42技","19技",48,54,26,8,27
"42技","20技",53,52,25,5,33
"42技","21技",46,39,11,4,29
"42技","22技",32,52,20,12,14
"42技","23技",49,43,20,9,16
"42技","24技",45,37,25,11,27
"42技","25技",53,54,37,22,26
"42技","26技",54,53,42,18,27
"42技","27技",67,50,43,45,37
"42技","28技",53,67,53,30,45
"42技","29技",69,59,47,48,50
"42技","30技",72,75,53,62,68
"42技","31技",74,80,83,58,65
"42技","32技",95,90,88,66,85
"42技","33技",106,114,92,105,113
"42技","34技",140,139,114,132,131
"42技","35技",202,172,142,137,145
"42技","36技",254,233,207,176,190
"42技","37技",261,297,226,219,223
"42技","38技",314,321,281,248,288
"42技","39技",297,318,280,234,284
"42技","40 - 44技",1033,978,915,876,974
"42技","45 - 49技",231,211,172,172,171
"42技","50 - 54技",43,42,40,26,31
"42技","55 - 59技",5,8,6,1,5
"42技","60 - 64技",1,0,2,0,0
"42技","65 - 69技",0,0,0,0,0
"42技","70 - 74技",0,0,0,0,0
"42技","75技捞惑",0,0,0,0,0
"43技","15技",0,0,0,0,0
"43技","16技",0,0,0,0,0
"43技","17技",1,1,0,0,0
"43技","18技",47,52,19,1,15
"43技","19技",52,49,21,9,28
"43技","20技",54,27,17,5,25
"43技","21技",47,36,18,8,29
"43技","22技",48,61,17,9,20
"43技","23技",35,46,16,7,25
"43技","24技",45,36,18,5,29
"43技","25技",33,41,22,19,26
"43技","26技",55,40,31,13,30
"43技","27技",55,62,28,23,22
"43技","28技",49,50,32,31,34
"43技","29技",57,56,41,30,36
"43技","30技",63,70,43,44,51
"43技","31技",60,72,34,43,59
"43技","32技",73,65,59,45,75
"43技","33技",91,86,69,64,71
"43技","34技",123,103,100,72,89
"43技","35技",171,117,120,119,112
"43技","36技",204,160,155,124,136
"43技","37技",208,202,159,171,146
"43技","38技",261,277,197,195,189
"43技","39技",283,239,235,206,232
"43技","40 - 44技",1106,1014,863,877,912
"43技","45 - 49技",280,276,239,193,197
"43技","50 - 54技",63,59,49,54,41
"43技","55 - 59技",12,11,8,6,8
"43技","60 - 64技",0,0,1,0,1
"43技","65 - 69技",0,0,0,0,0
"43技","70 - 74技",0,0,0,0,0
"43技","75技捞惑",0,0,0,0,0
"44技","15技",0,0,0,0,0
"44技","16技",0,0,0,0,1
"44技","17技",1,1,0,0,1
"44技","18技",42,52,22,1,7
"44技","19技",44,44,21,3,20
"44技","20技",45,35,16,3,21
"44技","21技",52,46,16,8,20
"44技","22技",37,47,19,6,15
"44技","23技",36,48,16,10,31
"44技","24技",47,37,13,14,17
"44技","25技",51,50,22,11,22
"44技","26技",32,42,18,10,26
"44技","27技",40,46,26,19,24
"44技","28技",39,52,40,21,22
"44技","29技",50,46,40,23,18
"44技","30技",49,49,27,32,44
"44技","31技",60,51,41,32,45
"44技","32技",50,58,35,33,40
"44技","33技",84,80,53,52,67
"44技","34技",94,90,62,61,70
"44技","35技",121,119,73,55,67
"44技","36技",146,130,104,80,87
"44技","37技",150,134,137,109,96
"44技","38技",207,186,147,142,140
"44技","39技",222,218,189,167,178
"44技","40 - 44技",1121,1048,813,817,850
"44技","45 - 49技",437,416,311,297,241
"44技","50 - 54技",80,75,65,75,58
"44技","55 - 59技",19,11,16,14,7
"44技","60 - 64技",2,2,2,4,2
"44技","65 - 69技",0,1,1,0,1
"44技","70 - 74技",0,0,0,0,0
"44技","75技捞惑",0,0,0,0,0
"45 - 49技","15技",0,0,1,0,0
"45 - 49技","16技",0,0,0,0,0
"45 - 49技","17技",7,2,2,0,1
"45 - 49技","18技",92,114,40,1,38
"45 - 49技","19技",121,128,75,12,80
"45 - 49技","20技",112,106,49,18,86
"45 - 49技","21技",127,130,58,25,71
"45 - 49技","22技",115,135,57,27,74
"45 - 49技","23技",144,144,60,27,70
"45 - 49技","24技",140,125,73,31,86
"45 - 49技","25技",157,164,75,37,85
"45 - 49技","26技",151,142,65,44,76
"45 - 49技","27技",145,138,88,54,91
"45 - 49技","28技",141,147,91,75,115
"45 - 49技","29技",163,154,98,70,96
"45 - 49技","30技",172,203,103,93,119
"45 - 49技","31技",158,160,137,107,131
"45 - 49技","32技",183,225,129,103,155
"45 - 49技","33技",206,208,158,115,156
"45 - 49技","34技",224,254,184,152,160
"45 - 49技","35技",249,262,220,187,187
"45 - 49技","36技",291,287,216,191,210
"45 - 49技","37技",357,343,326,264,236
"45 - 49技","38技",410,424,329,297,290
"45 - 49技","39技",512,513,418,411,375
"45 - 49技","40 - 44技",3165,3012,2614,2518,2537
"45 - 49技","45 - 49技",3808,3625,2999,2758,2582
"45 - 49技","50 - 54技",1077,985,873,878,818
"45 - 49技","55 - 59技",245,196,153,169,148
"45 - 49技","60 - 64技",28,32,28,17,14
"45 - 49技","65 - 69技",0,3,5,3,5
"45 - 49技","70 - 74技",0,0,0,0,0
"45 - 49技","75技捞惑",0,0,0,0,0
"50 - 54技","15技",0,0,0,0,0
"50 - 54技","16技",0,0,0,0,0
"50 - 54技","17技",2,0,1,0,0
"50 - 54技","18技",9,19,2,1,10
"50 - 54技","19技",11,17,10,1,7
"50 - 54技","20技",18,22,8,7,17
"50 - 54技","21技",17,26,9,5,15
"50 - 54技","22技",23,26,17,7,13
"50 - 54技","23技",25,35,13,14,26
"50 - 54技","24技",40,36,17,16,20
"50 - 54技","25技",47,46,16,14,31
"50 - 54技","26技",42,57,29,17,36
"50 - 54技","27技",41,48,25,16,44
"50 - 54技","28技",41,56,35,26,41
"50 - 54技","29技",63,68,42,22,51
"50 - 54技","30技",55,74,50,40,59
"50 - 54技","31技",54,78,46,35,61
"50 - 54技","32技",71,78,52,44,69
"50 - 54技","33技",75,96,61,30,62
"50 - 54技","34技",69,75,69,61,70
"50 - 54技","35技",88,97,51,56,79
"50 - 54技","36技",70,104,77,64,79
"50 - 54技","37技",97,110,82,66,98
"50 - 54技","38技",100,115,100,94,99
"50 - 54技","39技",113,121,113,95,125
"50 - 54技","40 - 44技",1022,1021,862,845,915
"50 - 54技","45 - 49技",2507,2465,2106,2005,2008
"50 - 54技","50 - 54技",2599,2610,2413,2443,2493
"50 - 54技","55 - 59技",716,662,622,581,597
"50 - 54技","60 - 64技",115,121,109,117,130
"50 - 54技","65 - 69技",16,12,9,12,17
"50 - 54技","70 - 74技",2,1,1,2,2
"50 - 54技","75技捞惑",1,1,0,0,1
"55 - 59技","15技",0,0,0,0,0
"55 - 59技","16技",0,0,0,0,0
"55 - 59技","17技",0,0,0,0,0
"55 - 59技","18技",2,1,1,1,2
"55 - 59技","19技",1,4,1,0,0
"55 - 59技","20技",2,5,1,0,4
"55 - 59技","21技",3,3,1,1,4
"55 - 59技","22技",5,7,4,4,6
"55 - 59技","23技",4,8,4,4,6
"55 - 59技","24技",10,9,8,3,7
"55 - 59技","25技",8,13,6,4,8
"55 - 59技","26技",14,8,9,5,9
"55 - 59技","27技",16,13,3,6,8
"55 - 59技","28技",21,20,10,9,12
"55 - 59技","29技",24,19,11,11,15
"55 - 59技","30技",17,19,12,8,13
"55 - 59技","31技",21,25,12,8,26
"55 - 59技","32技",21,32,7,7,23
"55 - 59技","33技",25,32,20,16,25
"55 - 59技","34技",26,37,30,17,31
"55 - 59技","35技",32,21,13,18,29
"55 - 59技","36技",36,45,19,28,30
"55 - 59技","37技",38,40,30,18,29
"55 - 59技","38技",49,52,26,25,34
"55 - 59技","39技",41,45,30,33,49
"55 - 59技","40 - 44技",366,360,260,234,264
"55 - 59技","45 - 49技",988,943,803,704,722
"55 - 59技","50 - 54技",2264,2206,1811,1741,1726
"55 - 59技","55 - 59技",1966,2011,1710,1565,1621
"55 - 59技","60 - 64技",401,435,405,416,417
"55 - 59技","65 - 69技",47,49,55,52,70
"55 - 59技","70 - 74技",8,7,8,10,7
"55 - 59技","75技捞惑",1,1,0,2,0
"60 - 64技","15技",0,0,0,0,0
"60 - 64技","16技",0,0,0,0,0
"60 - 64技","17技",0,0,0,0,0
"60 - 64技","18技",0,1,0,0,0
"60 - 64技","19技",0,0,1,0,0
"60 - 64技","20技",0,1,1,1,0
"60 - 64技","21技",1,2,0,0,3
"60 - 64技","22技",1,2,1,0,4
"60 - 64技","23技",2,0,1,0,5
"60 - 64技","24技",3,4,1,1,2
"60 - 64技","25技",3,1,1,1,2
"60 - 64技","26技",2,4,2,2,2
"60 - 64技","27技",9,4,3,2,3
"60 - 64技","28技",5,3,1,3,1
"60 - 64技","29技",7,8,1,1,5
"60 - 64技","30技",9,5,2,5,3
"60 - 64技","31技",8,9,3,2,5
"60 - 64技","32技",6,13,4,3,4
"60 - 64技","33技",10,9,4,7,12
"60 - 64技","34技",2,14,7,4,13
"60 - 64技","35技",18,15,5,9,10
"60 - 64技","36技",9,15,10,10,15
"60 - 64技","37技",8,9,9,6,9
"60 - 64技","38技",11,17,10,8,21
"60 - 64技","39技",11,20,11,12,10
"60 - 64技","40 - 44技",89,103,81,86,108
"60 - 64技","45 - 49技",256,280,204,218,224
"60 - 64技","50 - 54技",562,714,625,606,653
"60 - 64技","55 - 59技",1320,1411,1293,1308,1318
"60 - 64技","60 - 64技",781,905,902,1024,1099
"60 - 64技","65 - 69技",96,125,137,169,207
"60 - 64技","70 - 74技",15,17,23,22,32
"60 - 64技","75技捞惑",1,3,3,3,4
"65 - 69技","15技",0,0,0,0,0
"65 - 69技","16技",0,0,0,0,0
"65 - 69技","17技",0,0,0,0,0
"65 - 69技","18技",0,0,0,0,0
"65 - 69技","19技",0,0,0,0,0
"65 - 69技","20技",1,0,0,0,0
"65 - 69技","21技",0,1,0,0,0
"65 - 69技","22技",1,1,0,0,0
"65 - 69技","23技",0,0,1,0,0
"65 - 69技","24技",0,1,0,0,0
"65 - 69技","25技",0,0,0,1,1
"65 - 69技","26技",0,0,0,1,1
"65 - 69技","27技",1,0,1,0,1
"65 - 69技","28技",1,0,0,2,4
"65 - 69技","29技",1,2,1,1,2
"65 - 69技","30技",2,0,1,0,1
"65 - 69技","31技",1,1,1,0,5
"65 - 69技","32技",0,3,0,2,2
"65 - 69技","33技",2,2,3,4,7
"65 - 69技","34技",4,4,4,3,0
"65 - 69技","35技",3,2,1,1,2
"65 - 69技","36技",0,3,5,3,2
"65 - 69技","37技",2,5,2,2,2
"65 - 69技","38技",4,4,3,0,7
"65 - 69技","39技",6,6,1,1,1
"65 - 69技","40 - 44技",24,20,29,22,31
"65 - 69技","45 - 49技",52,62,51,53,59
"65 - 69技","50 - 54技",119,130,115,131,112
"65 - 69技","55 - 59技",387,359,332,306,314
"65 - 69技","60 - 64技",533,537,572,602,686
"65 - 69技","65 - 69技",237,260,270,335,377
"65 - 69技","70 - 74技",36,50,50,57,59
"65 - 69技","75技捞惑",14,1,6,9,17
"70 - 74技","15技",0,0,0,0,0
"70 - 74技","16技",0,0,0,0,0
"70 - 74技","17技",0,0,0,0,0
"70 - 74技","18技",0,0,0,0,0
"70 - 74技","19技",0,0,0,0,0
"70 - 74技","20技",0,0,0,0,0
"70 - 74技","21技",0,1,0,0,0
"70 - 74技","22技",0,0,0,0,0
"70 - 74技","23技",0,0,0,0,0
"70 - 74技","24技",0,0,0,0,1
"70 - 74技","25技",0,0,0,0,0
"70 - 74技","26技",0,1,0,0,0
"70 - 74技","27技",0,0,1,0,0
"70 - 74技","28技",0,0,0,0,0
"70 - 74技","29技",0,0,1,0,0
"70 - 74技","30技",0,0,0,0,0
"70 - 74技","31技",0,0,0,0,0
"70 - 74技","32技",0,0,0,0,1
"70 - 74技","33技",0,1,0,2,0
"70 - 74技","34技",1,0,0,2,0
"70 - 74技","35技",0,0,0,0,1
"70 - 74技","36技",1,3,0,1,1
"70 - 74技","37技",0,2,0,0,0
"70 - 74技","38技",0,1,1,0,0
"70 - 74技","39技",0,1,1,0,0
"70 - 74技","40 - 44技",4,12,5,3,13
"70 - 74技","45 - 49技",10,10,8,14,7
"70 - 74技","50 - 54技",42,35,21,36,27
"70 - 74技","55 - 59技",84,98,98,67,52
"70 - 74技","60 - 64技",216,218,208,206,194
"70 - 74技","65 - 69技",273,300,295,356,329
"70 - 74技","70 - 74技",135,136,160,195,170
"70 - 74技","75技捞惑",24,28,29,20,27
"75技捞惑","15技",0,0,0,0,0
"75技捞惑","16技",0,0,0,0,0
"75技捞惑","17技",0,0,0,0,0
"75技捞惑","18技",0,0,0,0,0
"75技捞惑","19技",0,0,0,0,0
"75技捞惑","20技",0,0,0,0,0
"75技捞惑","21技",0,0,0,0,0
"75技捞惑","22技",0,0,0,0,0
"75技捞惑","23技",0,0,0,0,0
"75技捞惑","24技",0,0,0,0,0
"75技捞惑","25技",0,0,0,0,0
"75技捞惑","26技",0,0,0,0,0
"75技捞惑","27技",0,0,0,0,0
"75技捞惑","28技",0,0,0,0,0
"75技捞惑","29技",0,0,0,0,0
"75技捞惑","30技",0,0,0,0,0
"75技捞惑","31技",0,0,0,0,0
"75技捞惑","32技",0,1,0,0,0
"75技捞惑","33技",0,0,0,0,0
"75技捞惑","34技",0,0,0,0,0
"75技捞惑","35技",0,0,0,0,1
"75技捞惑","36技",0,0,0,0,0
"75技捞惑","37技",0,0,0,0,0
"75技捞惑","38技",0,0,0,0,0
"75技捞惑","39技",0,1,0,0,0
"75技捞惑","40 - 44技",2,4,2,2,0
"75技捞惑","45 - 49技",6,3,4,3,2
"75技捞惑","50 - 54技",12,14,6,9,13
"75技捞惑","55 - 59技",24,25,21,27,20
"75技捞惑","60 - 64技",59,66,80,64,60
"75技捞惑","65 - 69技",147,128,153,158,186
"75技捞惑","70 - 74技",187,219,230,250,295
"75技捞惑","75技捞惑",223,267,301,326,354
