"巢祈狼 楷飞喊","酒郴狼 楷飞喊",2018,2019,2020,2021,2022
"24技","18技",21,21,13,11,12
"24技","19技",63,50,62,38,28
"24技","20技",92,97,78,59,51
"24技","21技",155,126,97,101,85
"24技","22技",252,195,174,140,124
"24技","23技",424,343,296,236,226
"24技","24技",667,625,530,451,453
"24技","25技",426,374,315,288,236
"24技","26技",242,217,175,143,159
"24技","27技",158,150,124,97,106
"24技","28技",93,100,81,61,80
"24技","29技",80,72,58,50,53
"24技","30技",52,46,30,40,30
"24技","31技",28,35,32,31,27
"24技","32技",27,27,17,19,12
"24技","33技",18,19,15,11,18
"24技","34技",10,18,12,8,10
"24技","35技",7,8,10,9,7
"24技","36技",7,11,12,2,3
"24技","37技",2,4,5,4,3
"24技","38技",2,3,5,1,2
"24技","39技",1,3,2,2,3
"24技","40 - 44技",4,9,3,2,6
"24技","45 - 49技",1,1,1,0,2
"24技","50 - 54技",0,1,2,0,0
"24技","55 - 59技",0,0,0,0,0
"24技","60 - 64技",0,0,0,1,0
"24技","65 - 69技",0,0,0,0,0
"24技","70 - 74技",0,0,0,0,0
"24技","75技捞惑",0,0,0,0,0
"25技","15技",2,0,0,2,1
"25技","16技",1,0,0,1,0
"25技","17技",1,0,5,1,1
"25技","18技",13,20,12,13,7
"25技","19技",51,54,44,41,18
"25技","20技",102,62,70,62,44
"25技","21技",154,161,114,91,83
"25技","22技",250,230,192,153,137
"25技","23技",380,347,288,244,211
"25技","24技",674,558,465,420,384
"25技","25技",1286,1025,932,819,671
"25技","26技",791,686,590,488,454
"25技","27技",379,349,305,282,248
"25技","28技",229,200,215,186,167
"25技","29技",172,155,131,134,127
"25技","30技",103,122,87,75,76
"25技","31技",73,74,58,66,46
"25技","32技",50,53,35,38,36
"25技","33技",38,30,32,31,35
"25技","34技",31,19,11,13,13
"25技","35技",16,13,13,21,15
"25技","36技",12,14,9,13,14
"25技","37技",9,5,8,8,7
"25技","38技",7,4,5,5,4
"25技","39技",5,7,2,4,6
"25技","40 - 44技",8,13,8,5,8
"25技","45 - 49技",3,3,1,1,1
"25技","50 - 54技",1,2,0,0,1
"25技","55 - 59技",0,0,0,0,0
"25技","60 - 64技",0,0,0,0,0
"25技","65 - 69技",0,0,0,0,0
"25技","70 - 74技",0,0,0,0,0
"25技","75技捞惑",0,0,0,0,0
"26技","15技",0,0,0,0,1
"26技","16技",0,1,1,0,1
"26技","17技",5,5,4,3,3
"26技","18技",19,11,15,11,8
"26技","19技",41,39,33,22,28
"26技","20技",83,83,64,54,37
"26技","21技",139,126,76,87,66
"26技","22技",278,224,176,156,156
"26技","23技",455,380,291,232,207
"26技","24技",712,635,529,410,376
"26技","25技",1220,1024,861,766,715
"26技","26技",2145,1804,1621,1355,1341
"26技","27技",1197,1105,1068,849,822
"26技","28技",518,541,470,436,387
"26技","29技",380,331,380,306,251
"26技","30技",252,232,191,189,166
"26技","31技",172,156,107,101,112
"26技","32技",118,93,91,88,79
"26技","33技",68,63,46,64,43
"26技","34技",49,39,44,36,28
"26技","35技",22,22,30,30,19
"26技","36技",16,16,20,9,21
"26技","37技",13,17,15,11,10
